123 Main St, Anytown, USA,12345,,,,,,teacher_id
456 Elm St, Somewhereville, USA,56789,,,,,,9
789 Oak Ave, Anotherplace, USA,10111,,,,,,9
321 Maple Ln, Yourtown, USA,20222,,,,,,9
555 Pine Dr, Elsewhere, USA,30333,,,,,,9
888 Cedar St, Nowhere, USA,40444,,,,,,9
999 Birch Blvd, Anyplace, USA,50555,,,,,,9
111 Spruce Ave, Everywhere, USA,60666,,,,,,9
444 Juniper Rd, Noplace, USA,70777,,,,,,9
777 Willow Way, Heretown, USA,80888,,,,,,9
234 Redwood Rd, Newville, USA,90999,,,,,,9
567 Magnolia St, Oldtown, USA,10100,,,,,,9
890 Chestnut Ave, Smallville, USA,11222,,,,,,9
1111 Laurel Ln, Westville, USA,22333,,,,,,9
2222 Acorn Ave, Greentown, USA,33444,,,,,,9
3333 Walnut Way, Eastville, USA,44555,,,,,,9
4444 Sycamore St, Southville, USA,55666,,,,,,9
5555 Birch Blvd, Northville, USA,66777,,,,,,9
6666 Maple Dr, Centerville, USA,77888,,,,,,9
7777 Pine Rd, Riverside, USA,88999,,,,,,9
8888 Cedar Ln, Hillside, USA,99000,,,,,,9
9999 Oak St, Lakeside, USA,111,,,,,,9
1122 Willow Ave, Parkside, USA,11222,,,,,,9
2233 Elm Dr, Beachside, USA,22333,,,,,,9
3344 Maple Ln, Countryside, USA,33444,,,,,,9
4455 Birch Blvd, Riverside, USA,44555,,,,,,9
5566 Pine Rd, Hillcrest, USA,55666,,,,,,9
6677 Cedar St, Lakeside, USA,66777,,,,,,9
7788 Oak Ave, Parkview, USA,77888,,,,,,9
8899 Spruce Ave, Beachview, USA,88999,,,,,,9
9900 Walnut Way, Countryside, USA,99000,,,,,,9
0011 Acorn Blvd, Riverside, USA,111,,,,,,9
1122 Redwood Rd, Hillcrest, USA,11222,,,,,,9
2233 Magnolia St, Lakeside, USA,22333,,,,,,9
3344 Chestnut Ave, Parkview, USA,33444,,,,,,9
4455 Laurel Ln, Beachview, USA,44555,,,,,,9
5566 Acorn Blvd, Countryside, USA,55666,,,,,,9
6677 Sycamore St, Riverside, USA,66777,,,,,,9
7788 Walnut Way, Hillcrest, USA,77888,,,,,,9
8899 Pine Rd, Lakeside, USA,88999,,,,,,9
9900 Cedar St, Parkview, USA,99000,,,,,,9
0011 Oak Ave, Beachview, USA,111,,,,,,9
1122 Willow Ave, Countryside, USA,11222,,,,,,9
2233 Elm Dr, Riverside, USA,22333,,,,,,9
3344 Maple Ln, Hillcrest, USA,33444,,,,,,9
4455 Birch Blvd, Lakeside, USA,44555,,,,,,9
5566 Pine Rd, Parkview, USA,55666,,,,,,9
,,,,,,,,,9
,,,,,,,,,9
,,,,,,,,,9
,,,,,,,,,9
,,,,,,,,,10
,,,,,,,,,10
,,,,,,,,,10
